"WEEK","ITEM_CODE","TOTAL_UNIT_SALES","TOTAL_VALUE_SALES","TOTAL_UNIT_AVG_WEEKLY_SALES","REGION"
"34-22","7501058792808BP2","0.0060","0.1390","1.0000",TOTAL AUTOS AREA 5
"34-22","7501058715883","0.4870","116.5190","2.9160",TOTAL AUTOS AREA 5
"34-22","7702626213774","1.3910","68.4530","5.1710",TOTAL AUTOS AREA 5
"34-22","7501058716422","0.0220","1.4810","1.8330",TOTAL AUTOS AREA 5
"34-22","7501058784353","2.0370","182.8390","5.3750",TOTAL AUTOS AREA 5
"34-22","7501058716064","0.0050","0.6790","1.2500",TOTAL AUTOS AREA 5
"34-22","7501058794963BP1","0.0040","0.5530","1.0000",TOTAL AUTOS AREA 5
"34-22","7501058792778BP1","0.0010","0.1280","1.0000",TOTAL AUTOS AREA 5
"34-22","7501058757630","0.7160","71.0180","4.2870",TOTAL AUTOS AREA 5
"34-22","7501058753441","2.7040","61.2290","11.2200",TOTAL AUTOS AREA 5
"34-22","7702626204208BP1","2.1880","23.7920","17.9340",TOTAL AUTOS AREA 5
"34-22","7501058784346","0.8110","146.7590","3.7550",TOTAL AUTOS AREA 5
"34-22","7501058796868","3.5070","55.8560","28.2820",TOTAL AUTOS AREA 5
"34-22","7891035040276","6.5390","80.1690","23.0250",TOTAL AUTOS AREA 5
"34-22","7501058796851","2.5470","40.3360","20.5400",TOTAL AUTOS AREA 5
"34-22","7501058714596","6.7740","86.1040","21.5050",TOTAL AUTOS AREA 5
"34-22","7891035040191","0.0080","0.1040","1.6000",TOTAL AUTOS AREA 5
"34-22","7501058751188","0.9970","93.1240","4.2790",TOTAL AUTOS AREA 5
"34-22","7501058716095","0.0780","12.9530","2.1670",TOTAL AUTOS AREA 5
"34-22","7501058751461","0.3510","66.0530","3.3110",TOTAL AUTOS AREA 5
"34-22","7501058757463","0.0040","0.1600","2.0000",TOTAL AUTOS AREA 5
"34-22","7501058757555","1.4280","51.0620","7.9330",TOTAL AUTOS AREA 5
"34-22","7501058751195","2.5320","129.9760","7.7910",TOTAL AUTOS AREA 5
"34-22","0046500022692","0.0240","2.0400","3.4290",TOTAL AUTOS AREA 5
"34-22","0046500729355","0.0010","0.0460","1.0000",TOTAL AUTOS AREA 5
"34-22","7501268200001","0.1840","1.9250","8.3640",TOTAL AUTOS AREA 6
"34-22","7501268200506","0.0030","0.0620","1.5000",TOTAL AUTOS AREA 6
"34-22","7501268200339","0.0410","1.3120","4.5560",TOTAL AUTOS AREA 6
"34-22","7501268200025","0.0130","0.1430","13.0000",TOTAL AUTOS AREA 6
"34-22","7501268200049","0.6820","12.8050","8.5250",TOTAL AUTOS AREA 6
"34-22","7501268200070","0.2430","8.6510","4.5850",TOTAL AUTOS AREA 6
"34-22","7501268200261","0.0050","0.2340","5.0000",TOTAL AUTOS AREA 6
"34-22","7501268200513","0.4060","4.4250","5.8840",TOTAL AUTOS AREA 6
"34-22","0757037517123","0.0010","0.0420","1.0000",TOTAL AUTOS AREA 6
"34-22","7501080900585","0.0720","18.8800","1.3090",TOTAL AUTOS AREA 6
"34-22","7501080954786","0.8540","19.8810","3.2110",TOTAL AUTOS AREA 6
"34-22","7501080954793","0.2460","16.5270","2.8280",TOTAL AUTOS AREA 6
"34-22","7501080955103","0.1750","32.3030","3.3650",TOTAL AUTOS AREA 6
"34-22","7501080955486","0.7080","53.7620","2.9260",TOTAL AUTOS AREA 6
"34-22","7501080900165","0.9210","21.6600","5.8290",TOTAL AUTOS AREA 6
"05-22","7501080900141","4.4760","247.5770","3.0340",TOTAL AUTOS SCANNING MEXICO
"05-22","7501080952973","0.0040","0.2150","1.3330",TOTAL AUTOS SCANNING MEXICO
"05-22","7501080900158","2.8970","315.6840","3.1800",TOTAL AUTOS SCANNING MEXICO
"05-22","0741120000746","0.0110","0.2010","3.6670",TOTAL AUTOS SCANNING MEXICO
"05-22","0741120000005","71.1920","599.4160","109.1910",TOTAL AUTOS SCANNING MEXICO
"05-22","0741120000036","9.8670","180.7010","19.6550",TOTAL AUTOS SCANNING MEXICO
"05-22","0741120000029","13.4630","371.0170","32.5980",TOTAL AUTOS SCANNING MEXICO
"05-22","0741120000012","0.1670","0.9690","11.9290",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071907692","6.0160","146.9960","4.8400",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071907654","0.0280","0.2790","1.8670",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071907722","4.8450","74.1140","4.3690",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071907661","8.4950","129.3760","5.3690",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071907715","4.9300","75.3260","3.6600",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071907425","0.3790","25.3920","2.1530",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071907401","0.4600","10.2090","3.1940",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071905339","0.0060","0.0890","1.2000",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071905766","0.0890","2.0300","1.7450",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071905346","0.7220","16.4910","3.8400",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071905292","3.1760","72.6660","4.4050",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071901393","0.1530","16.4210","3.6430",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071907517","0.0170","1.6830","3.4000",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071903854","4.2760","94.2620","6.1880",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071903861","0.8260","18.3100","6.0300",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071905551","28.9680","608.2690","23.9800",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071900136","18.8280","417.8420","13.8950",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071903311","5.9760","229.4550","5.9050",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071903366","4.4510","172.2210","6.0640",TOTAL AUTOS SCANNING MEXICO
